SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,TIMESTAMP,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-07-18,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-07-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-07-19,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2018-07-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-20,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2018-07-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-23,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2018-07-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-24,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-07-25,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-07-25,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-07-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-26,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-07-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-27,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-07-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-30,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2018-07-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-07-31,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-01,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-02,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-03,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-06,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-06,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-08-07,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-08,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-08,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-09,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-10,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-13,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-08-13,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-08-14,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-16,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,,,,2018-08-16,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-17,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-17,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-20,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-21,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-21,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-08-23,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-24,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-08-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-27,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-28,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-28,75.0,75.0,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-29,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-29,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-30,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-08-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-08-31,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-09-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-03,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2018-09-04,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-04,75.0,75.0,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-09-05,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-06,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-09-06,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-09-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-07,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-10,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-11,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-11,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-09-12,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-09-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-14,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-17,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-17,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-18,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-18,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2018-09-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-19,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-21,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-21,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,2018-09-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-24,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-25,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-25,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-26,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-27,75.0,75.0,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-09-28,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-09-28,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-01,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-10-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-03,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-10-04,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-04,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-05,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2018-10-08,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-08,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-09,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-10,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-11,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-11,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,,,,,,,2018-10-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-12,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-15,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-15,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-16,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-16,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-10-17,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-10-17,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-19,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-22,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-22,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-10-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-23,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2018-10-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-24,75.0,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2018-10-25,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-25,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-10-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-26,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-10-29,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-29,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-10-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-10-30,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-10-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-10-31,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-11-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-11-01,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-11-02,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-11-05,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-06,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-06,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,,,,,2018-11-07,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,,,,,,2018-11-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-09,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-12,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,,,,,,2018-11-13,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-13,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,,,,,,2018-11-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-11-14,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-15,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-15,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-16,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-16,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-11-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-11-19,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-20,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-21,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-11-21,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-22,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-11-22,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-26,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-11-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-27,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-11-28,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-28,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-11-29,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-11-29,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-11-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-11-30,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-03,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-04,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-04,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-12-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-05,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-06,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-06,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-07,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-10,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-11,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-11,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-12,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,,,,,,2018-12-13,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-13,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2018-12-14,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-17,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-17,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-12-18,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-18,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-12-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-19,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-20,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2018-12-21,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-21,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-12-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-24,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-12-26,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-26,75.0,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2018-12-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-27,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-12-28,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2018-12-28,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2018-12-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2018-12-31,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2019-01-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-01,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2019-01-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-02,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,2019-01-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,,,,2019-01-03,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2019-01-04,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2019-01-04,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2019-01-07,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-07,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2019-01-08,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2019-01-08,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2019-01-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-09,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2019-01-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-10,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2019-01-11,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2019-01-11,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2019-01-14,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2019-01-14,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,20.0,,,,2019-01-15,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2019-01-15,,,,,,,,,,,,
BANKNIFTY,20.0,20.0,20.0,20.0,20.0,,,,,2019-01-16,,,,,,,,,,,,
